"BehaviorSpace results (NetLogo 5.0.2)"
"data_generator.nlogo"
"experiment"
"02/09/2014 21:40:25:064 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","x","[step]","y"
"2","0.1","1","0.7670187862099878"
"3","0.1","1","0.7452464895026791"
"4","0.1","1","0.7515957084978732"
"5","0.1","1","0.7621225850885802"
"6","0.1","1","0.7587569988654718"
"7","0.1","1","0.7656679029336042"
"8","0.1","1","0.7623817196578255"
"9","0.1","1","0.748376877178241"
"1","0.1","1","0.7677567290223745"
"10","0.1","1","0.7422419634614965"
"12","0.1","1","0.7516146129948037"
"13","0.1","1","0.7695907292349287"
"14","0.1","1","0.7420039744837147"
"15","0.1","1","0.7615579775609832"
"16","0.1","1","0.7453052831773659"
"11","0.1","1","0.7556823760377201"
"17","0.1","1","0.7521700122799785"
"19","0.1","1","0.7678459023245546"
"20","0.1","1","0.764174279872199"
"21","0.2","1","0.7399135964005932"
"22","0.2","1","0.7331780412522441"
"23","0.2","1","0.7321251605614284"
"24","0.2","1","0.7252080626224648"
"25","0.2","1","0.729315037106057"
"18","0.1","1","0.7464928660977413"
"26","0.2","1","0.7185434144976024"
"28","0.2","1","0.7243265824131246"
"29","0.2","1","0.7193737907951183"
"30","0.2","1","0.733804054258113"
"31","0.2","1","0.7398247878086694"
"32","0.2","1","0.7322963081490316"
"33","0.2","1","0.7175494220933428"
"34","0.2","1","0.7360595356363928"
"27","0.2","1","0.7363540754770657"
"35","0.2","1","0.7242631517735307"
"37","0.2","1","0.7257844276593272"
"38","0.2","1","0.7183736807905728"
"39","0.2","1","0.7102386792924593"
"40","0.2","1","0.7114421379790151"
"41","0.3","1","0.6882077362357468"
"36","0.2","1","0.7346811217067459"
"42","0.3","1","0.6970612251104856"
"44","0.3","1","0.697529246398685"
"45","0.3","1","0.6916980694337028"
"46","0.3","1","0.7087595128861903"
"47","0.3","1","0.7073795312910587"
"48","0.3","1","0.6901840654490755"
"49","0.3","1","0.7030708564573853"
"43","0.3","1","0.6971798952635708"
"50","0.3","1","0.7029506135226318"
"52","0.3","1","0.694415042230546"
"53","0.3","1","0.686203389903857"
"54","0.3","1","0.6986145282165047"
"55","0.3","1","0.6896863976408026"
"56","0.3","1","0.6923191134404745"
"51","0.3","1","0.6865430946640692"
"57","0.3","1","0.6810527368333789"
"59","0.3","1","0.686248929401177"
"60","0.3","1","0.7018581781152918"
"61","0.4","1","0.6553062727467476"
"62","0.4","1","0.6501496437018416"
"63","0.4","1","0.6740160291103197"
"64","0.4","1","0.6547368029996324"
"58","0.3","1","0.699310965569875"
"65","0.4","1","0.6611258477668737"
"66","0.4","1","0.677017097004238"
"67","0.4","1","0.6652285081722068"
"69","0.4","1","0.6736548931982322"
"70","0.4","1","0.6597111528036359"
"71","0.4","1","0.6628089098251205"
"72","0.4","1","0.6793823362851501"
"73","0.4","1","0.6665190852026248"
"74","0.4","1","0.6683443810479379"
"75","0.4","1","0.6568720312039625"
"76","0.4","1","0.6690859145013986"
"77","0.4","1","0.6707629262950193"
"78","0.4","1","0.6636844887726736"
"79","0.4","1","0.6746635048270342"
"80","0.4","1","0.676733482088628"
"68","0.4","1","0.6745120000010548"
"81","0.5","1","0.6307319701674571"
"83","0.5","1","0.6314152033432443"
"84","0.5","1","0.6209371034978096"
"85","0.5","1","0.6287090011789636"
"86","0.5","1","0.6447623248953741"
"87","0.5","1","0.6359724245676941"
"88","0.5","1","0.6462924798729468"
"82","0.5","1","0.6272524489365058"
"89","0.5","1","0.64719543193174"
"91","0.5","1","0.6377497717545273"
"92","0.5","1","0.6228785927366614"
"93","0.5","1","0.6351293386684577"
"94","0.5","1","0.6305963753043002"
"95","0.5","1","0.6456853480807088"
"96","0.5","1","0.6248422802818092"
"90","0.5","1","0.6262715382655824"
"97","0.5","1","0.6401114643127845"
"98","0.5","1","0.6232159201530945"
"100","0.5","1","0.6242191125251734"
"101","0.6","1","0.617529868847584"
"102","0.6","1","0.6152485576385119"
"103","0.6","1","0.6123984524625091"
"104","0.6","1","0.5961240568285547"
"99","0.5","1","0.6294761689107362"
"105","0.6","1","0.6177128248756151"
"106","0.6","1","0.617908425170625"
"108","0.6","1","0.6075031343572981"
"109","0.6","1","0.6145889674752087"
"110","0.6","1","0.6134824978557352"
"111","0.6","1","0.6050270514075798"
"112","0.6","1","0.5926854760739814"
"107","0.6","1","0.5966402823234074"
"113","0.6","1","0.6114697051096332"
"114","0.6","1","0.5997460098408853"
"116","0.6","1","0.5963080183647151"
"117","0.6","1","0.5911247083742175"
"118","0.6","1","0.5993790066940757"
"119","0.6","1","0.6028358617167997"
"120","0.6","1","0.60960663524955"
"121","0.7","1","0.5801890301048773"
"115","0.6","1","0.595575723401114"
"122","0.7","1","0.5686567369890203"
"124","0.7","1","0.5875779138081009"
"125","0.7","1","0.5750841407652068"
"126","0.7","1","0.5692751197303287"
"127","0.7","1","0.5884705065920866"
"128","0.7","1","0.569987077270774"
"129","0.7","1","0.5661944901692504"
"123","0.7","1","0.5810768195437913"
"130","0.7","1","0.5850958023421872"
"132","0.7","1","0.588455286041622"
"133","0.7","1","0.5827132962975498"
"134","0.7","1","0.5802842888312136"
"135","0.7","1","0.5753799266081119"
"136","0.7","1","0.5879315507386482"
"137","0.7","1","0.5836050413770787"
"131","0.7","1","0.5690156603721532"
"138","0.7","1","0.5745299368658097"
"140","0.7","1","0.5681601347975871"
"141","0.8","1","0.5558503826946678"
"142","0.8","1","0.5440627619405345"
"143","0.8","1","0.5548377092780207"
"144","0.8","1","0.5308560014367475"
"145","0.8","1","0.5554171097914238"
"146","0.8","1","0.5466104934491652"
"147","0.8","1","0.5564584456023618"
"148","0.8","1","0.5592582721637456"
"139","0.7","1","0.5755832640502376"
"149","0.8","1","0.5317968639809069"
"151","0.8","1","0.5429811013896999"
"152","0.8","1","0.5520266337478351"
"153","0.8","1","0.5598618855985296"
"154","0.8","1","0.5446567375029718"
